timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787564085.19109,2767.45,0.0,87,4500,1379.2,2222,846.0,1300,1300,none,0,0,0,0
1787564085.4422505,2767.702,0.0,91,4500,1525.4,2995,920.0,1300,1300,none,0,0,0,0
1787564085.6935298,2767.953,0.0,87,4200,1983.4,400,400.0,1300,1300,none,0,0,0,0
1787564085.9447687,2768.204,0.0,87,4500,2024.2,1483,535.4,1300,1300,none,0,0,0,0
1787564086.1957517,2768.455,0.0,87,4182,1692.5,2510,846.4,1300,1300,none,0,0,0,0
1787564086.4469466,2768.706,0.0,87,4500,1624.9,1922,668.9,1300,1300,none,0,0,0,0
1787564086.6985555,2768.957,0.0,87,4372,2087.5,3297,976.9,1300,1300,none,0,0,0,0
1787564086.9498563,2769.209,0.0,85,4500,1728.9,1998,633.9,1300,1300,none,0,0,0,0
1787564087.2009907,2769.46,0.0,85,4489,2283.0,400,399.8,1300,1300,none,0,0,0,0
1787564087.452164,2769.712,0.0,88,4500,1677.9,400,400.0,1300,1300,none,0,0,0,0
1787564087.7035,2769.963,0.0,88,4500,2104.6,3295,1096.2,1300,1300,none,0,0,0,0
1787564087.9546175,2770.214,0.0,87,4500,1832.5,772,446.5,1300,1300,none,0,0,0,0
1787564088.2059429,2770.465,0.0,88,4221,1767.1,2352,719.8,1300,1300,none,0,0,0,0
1787564088.4572072,2770.716,0.0,85,4500,1519.0,400,399.9,1300,1300,none,0,0,0,0
1787564088.7085516,2770.968,0.0,85,4353,2147.0,3300,1186.0,1300,1300,none,0,0,0,0
1787564088.9598267,2771.219,0.0,91,4500,1620.2,3299,1124.8,1300,1300,none,0,0,0,0
1787564089.2110584,2771.47,0.0,87,4449,2258.4,562,420.4,1300,1300,none,0,0,0,0
1787564089.4622142,2771.722,0.0,90,4499,1719.0,2171,621.4,1300,1300,none,0,0,0,0
1787564089.713533,2771.973,0.0,90,4500,1610.8,400,400.0,1300,1300,none,0,0,0,0
1787564089.96481,2772.224,0.0,91,4500,912.4,400,400.0,1300,1300,none,0,0,0,0
1787564090.2169805,2772.475,0.0,91,4202,2714.5,1993,634.9,1300,1300,none,0,0,0,0
1787564090.4682908,2772.728,0.0,88,4500,3149.1,3271,2005.4,1300,1300,none,0,0,0,0
1787564090.7196698,2772.979,0.0,92,4500,2108.0,3299,865.6,1300,1300,none,0,0,0,0
1787564090.9712088,2773.23,0.0,92,4500,1639.1,3299,1044.0,1300,1300,none,0,0,0,0
1787564091.22244,2773.482,0.0,88,4500,1801.2,3301,1432.8,1300,1300,none,0,0,0,0
1787564091.4736896,2773.733,0.0,88,4501,1959.9,1588,548.4,1300,1300,none,0,0,0,0
1787564091.7250814,2773.984,0.0,89,4500,2078.0,400,400.0,1300,1300,none,0,0,0,0
1787564091.9762847,2774.236,0.0,88,4349,1269.9,2452,656.5,1300,1300,none,0,0,0,0
1787564092.2275653,2774.487,0.0,90,4500,1939.8,3300,1357.9,1300,1300,none,0,0,0,0
1787564092.478944,2774.738,0.0,88,4450,1369.2,2735,762.9,1300,1300,none,0,0,0,0
1787564092.730214,2774.989,0.0,91,4502,4003.6,3300,2507.6,1300,1300,none,0,0,0,0
1787564092.9814656,2775.241,0.0,92,4500,1742.4,2462,1119.0,1300,1300,none,0,0,0,0
1787564093.2343671,2775.493,0.0,91,3700,3698.0,2900,2899.2,1300,1300,none,0,0,0,0
1787564093.4855807,2775.745,0.0,90,4499,1453.6,1573,560.8,1300,1300,none,0,0,0,0
1787564093.7366526,2775.996,0.0,91,4500,1978.1,3299,794.8,1300,1300,none,0,0,0,0
1787564093.9878948,2776.247,0.0,89,4500,1378.2,977,529.8,1300,1300,none,0,0,0,0
1787564094.2391424,2776.498,0.0,85,4500,2686.9,3299,1223.9,1300,1300,none,0,0,0,0
1787564094.4904037,2776.75,0.0,91,4500,1740.5,1398,524.8,1300,1300,none,0,0,0,0
1787564094.741568,2777.001,0.0,89,4452,1417.6,400,400.0,1300,1300,none,0,0,0,0
1787564094.9932353,2777.252,0.0,95,4453,2699.5,2692,686.5,1300,1300,none,0,0,0,0
1787564095.2444484,2777.504,0.0,85,4500,1808.8,3299,1557.5,1300,1300,none,0,0,0,0
1787564095.495725,2777.755,0.0,88,4500,1259.5,3118,749.1,1300,1300,none,0,0,0,0
1787564095.746752,2778.006,0.0,89,4500,1598.8,609,426.1,1200,1300,none,0,0,0,0
1787564095.9979784,2778.257,0.0,85,4500,1486.6,1484,535.5,1300,1300,none,0,0,0,0
1787564096.2492442,2778.509,0.0,90,4480,2064.5,1834,732.4,1300,1300,none,0,0,0,0
1787564096.500475,2778.76,0.0,87,4500,1659.8,555,419.4,1300,1300,none,0,0,0,0
1787564096.7515821,2779.011,0.0,88,4483,1811.4,3011,1052.5,1300,1300,none,0,0,0,0
1787564097.0027742,2779.262,0.0,95,4500,1502.8,3300,2291.5,1300,1300,none,0,0,0,0
1787564097.2540352,2779.513,0.0,88,4484,2126.6,2849,947.9,1300,1300,none,0,0,0,0
1787564097.5052536,2779.765,0.0,89,4500,1211.4,1959,594.9,1300,1300,none,0,0,0,0
1787564097.7564483,2780.016,0.0,91,4500,3488.6,3243,2452.4,1300,1300,none,0,0,0,0
1787564098.007831,2780.267,0.0,89,4500,1718.1,1039,526.8,1300,1300,none,0,0,0,0
1787564098.2590039,2780.518,0.0,83,4500,3467.0,3301,2840.8,1300,1300,none,0,0,0,0
1787564098.5103085,2780.77,0.0,88,4500,2045.4,641,430.1,1300,1300,none,0,0,0,0
1787564098.7615168,2781.021,0.0,89,4451,1670.5,2686,957.6,1300,1300,none,0,0,0,0
1787564099.012692,2781.272,0.0,95,4499,1132.5,3298,764.4,1300,1300,none,0,0,0,0
1787564099.2639177,2781.523,0.0,87,4462,2616.8,400,400.0,1300,1300,none,0,0,0,0
1787564099.5153227,2781.774,0.0,89,4500,1816.4,2298,775.9,1300,1300,none,0,0,0,0
1787564099.7666056,2782.026,0.0,92,4488,1813.1,3304,1125.6,1300,1300,none,0,0,0,0
1787564100.0178661,2782.277,0.0,87,4442,1534.6,1222,600.2,1300,1300,none,0,0,0,0
1787564100.2691038,2782.528,0.0,91,4499,3386.9,2942,2483.9,1300,1300,none,0,0,0,0
1787564100.520134,2782.78,0.0,90,4500,1829.6,2140,629.4,1300,1300,none,0,0,0,0
1787564100.7711382,2783.031,0.0,92,4500,1872.1,1290,648.4,1300,1300,none,0,0,0,0
1787564101.0223713,2783.282,0.0,89,4363,2027.8,400,400.0,1300,1300,none,0,0,0,0
1787564101.2734509,2783.533,0.0,89,4455,1695.8,2702,832.8,1300,1300,none,0,0,0,0
1787564101.5247777,2783.784,0.0,88,4500,1863.2,1705,701.5,1300,1300,none,0,0,0,0
1787564101.7760231,2784.035,0.0,88,4500,2263.1,2634,781.2,1300,1300,none,0,0,0,0
1787564102.0271256,2784.286,0.0,92,4451,2005.4,2685,730.8,1300,1300,none,0,0,0,0
1787564102.2783477,2784.538,0.0,89,4451,1350.2,3299,958.8,1300,1300,none,0,0,0,0
1787564102.5296185,2784.789,0.0,89,4500,1200.1,2640,891.6,1300,1300,none,0,0,0,0
1787564102.7808244,2785.04,0.0,88,4500,1488.2,3306,2408.9,1300,1300,none,0,0,0,0
1787564103.0319376,2785.291,0.0,88,4500,1857.8,2203,731.8,1300,1300,none,0,0,0,0
1787564103.2832315,2785.542,0.0,89,4499,3812.9,3303,2434.0,1150,1300,pl1,1,0,0,0
1787564103.534265,2785.794,0.0,88,4499,1818.2,1183,497.9,1150,1300,pl1,1,0,0,0
1787564103.785408,2786.045,0.0,85,4499,1177.4,3033,729.0,1200,1300,pl1,1,0,0,0
1787564104.0366564,2786.296,0.0,89,4391,2076.9,2727,690.8,1150,1300,pl1,1,0,0,0
1787564104.2879517,2786.547,0.0,85,4447,1886.6,2145,645.1,1150,1300,pl1,1,0,0,0
1787564104.5391757,2786.798,0.0,88,4309,1329.5,400,400.0,1150,1300,pl1,1,0,0,0
1787564104.790419,2787.05,0.0,88,4258,2186.0,630,428.8,1200,1300,pl1,1,0,0,0
1787564105.0416927,2787.301,0.0,88,4500,1707.1,1816,577.0,1200,1300,pl1,1,0,0,0
1787564105.2929194,2787.552,0.0,90,4500,1298.9,2299,1170.2,1150,1300,pl1,1,0,0,0
1787564105.5441968,2787.803,0.0,87,4500,1709.9,802,477.8,1150,1300,pl1,1,0,0,0
1787564105.7953877,2788.055,0.0,84,4500,1712.0,400,399.9,1200,1300,pl1,1,0,0,0
1787564106.0466447,2788.306,0.0,91,4499,1238.9,3302,952.2,1200,1300,pl1,1,0,0,0
